1.0000000 -4741.7714863 0.0829089 0.0043434
1.1000000 -4716.6390293 0.0990078 0.0043148
1.2000000 -4693.5288170 0.1144210 0.0052820
1.3000000 -4665.3953488 0.1715769 0.0074702
1.4000000 -4623.5348837 0.1983339 0.0088665
1.5000000 -4570.1071790 0.2209824 0.0108334
1.6000000 -4510.1476239 0.3117086 0.0147774
1.7000000 -4419.0899899 0.3356099 0.0150195
1.8000000 -4297.8604651 0.4862975 0.0222371
1.9000000 -4174.2406471 0.5933621 0.0259611
2.0000000 -4022.9888777 0.6590492 0.0296529
2.1000000 -3803.7451972 0.9554826 0.0413880
2.2000000 -3529.2740142 1.1828503 0.0565674
2.3000000 -3228.1334681 1.2348068 0.0595198
2.4000000 -2965.6177958 1.0173241 0.0438819
2.5000000 -2736.0525784 0.8126717 0.0369258
2.6000000 -2559.7532861 0.6830748 0.0332490
2.7000000 -2404.2143579 0.5773060 0.0268969
2.8000000 -2263.9757331 0.4882078 0.0214816
2.9000000 -2140.3235592 0.4627315 0.0199117
3.0000000 -2029.1203236 0.4004062 0.0164838
