1.000000000000000000e+00 2.498181818181818016e+03 -4.992856565656566090e+03 2.283702315837144933e-02 1.246701409630304952e-03 1.518898072093725383e-03
1.100000000000000089e+00 2.496103030303030209e+03 -4.984824242424242584e+03 4.214288944917276430e-02 2.094164348376922283e-03 3.185855247080325841e-03
1.199999999999999956e+00 2.492464646464646648e+03 -4.971139393939393813e+03 7.184364860773914674e-02 3.675945927076703507e-03 6.258000883894661998e-03
1.300000000000000044e+00 2.487024242424242402e+03 -4.950949494949494692e+03 1.022856911725899126e-01 4.863439387017788260e-03 1.035755032845414592e-02
1.399999999999999911e+00 2.478452525252525447e+03 -4.919959595959596300e+03 1.507446678689852437e-01 6.573388815349010851e-03 1.731292025585259853e-02
1.500000000000000000e+00 2.466177777777777919e+03 -4.877846464646464483e+03 1.984216678116056676e-01 8.573088645425089652e-03 2.784126898596684177e-02
1.600000000000000089e+00 2.449309090909091083e+03 -4.821591919191919260e+03 2.670989796961657503e-01 1.230724225755154728e-02 4.392510560131632213e-02
1.700000000000000178e+00 2.425793939393939581e+03 -4.746787878787878981e+03 3.265140616605025081e-01 1.579330191714553577e-02 6.736873764347504900e-02
1.800000000000000044e+00 2.392115151515151410e+03 -4.647042424242424204e+03 4.248594859936906110e-01 2.001541623170670359e-02 1.097155718805475355e-01
1.899999999999999911e+00 2.344783838383838429e+03 -4.520076767676767304e+03 5.279210012210042713e-01 2.342287974252169752e-02 1.839973931767438786e-01
2.000000000000000000e+00 2.277527272727272702e+03 -4.361967676767676494e+03 7.667514106724411249e-01 3.478198777762388921e-02 3.848134876033291185e-01
2.100000000000000089e+00 2.178701010101010070e+03 -4.160004040404040097e+03 9.585165014170330400e-01 4.197229993153827471e-02 8.001303509360268018e-01
2.200000000000000178e+00 1.974220202020202123e+03 -3.872068686868686655e+03 1.402711689564560826e+00 6.406726018240549436e-02 3.747737005685794376e+00
2.299999999999999822e+00 1.014804040404040393e+03 -3.372521212121212102e+03 2.012485005407258054e+00 8.539133632854249700e-02 6.051706350177223470e+01
2.400000000000000355e+00 5.029373737373737185e+02 -3.019385858585858387e+03 1.082276837964438521e+00 4.981223066708959091e-02 1.941393840356425926e+01
2.500000000000000000e+00 3.040565656565656809e+02 -2.765349494949494783e+03 8.816467442261576304e-01 3.980998186887828305e-02 7.435466477951228725e+00
2.600000000000000089e+00 2.122767676767676903e+02 -2.566193939393939218e+03 6.714923652882560656e-01 3.202375507285374484e-02 3.196317663660692698e+00
2.700000000000000178e+00 1.972262626262626384e+02 -2.412109090909090810e+03 5.570487990014161284e-01 2.599910202174713844e-02 3.250463047837143016e+00
2.799999999999999822e+00 1.731898989898989782e+02 -2.265620202020202214e+03 5.226094205297378004e-01 2.433230701971424853e-02 2.436381284125527458e+00
2.900000000000000355e+00 1.497373737373737299e+02 -2.145971717171717046e+03 4.876337793190363978e-01 2.086143595460232189e-02 1.747571677766871057e+00
3.000000000000000000e+00 1.413191919191919226e+02 -2.043757575757575751e+03 4.167903846546179847e-01 1.951009015982204872e-02 1.577340489609903917e+00
